7J3AOZ	2715H
JJ1CBY	100116M
JJ1CWR	1210M
JJ1DGG	110117M
JJ1DPG	110112M
JJ1DQR/1	1003M
JJ1EAJ/2	21016M
JJ1ENZ	1006H
JJ1FDS	1106M
JJ1FWH	100105M
JJ1GQH	13008M
JJ1HHJ	100119M
JJ1HKL	1005L
JJ1HTI	1508M
JJ1HTO	1002M
JJ1IDW	100115M
JJ1ISA	1321L
JJ1ISW	1207M
JJ1IVU	110307M
JJ1JJD	110307M
JJ1JQJ/2	2002M
JJ1JQM	1207M
JJ1JRH/1	1336M
JJ1JVC	1311M
JJ1KZZ	1010H
JJ1LBJ	110113H
JJ1LZE	10002M
JJ1MLB	1029M
JJ1MZX	110109M
JJ1NPN/1	1401M
JJ1OIR	1417M
JJ1ONI/1	16007M
JJ1ONK	1007H
JJ1OVA	1114M
JJ1OXT	1025M
JJ1PIO	134408M
JJ1PIQ	110109M
JJ1PSM	1102M
JJ1QIC	1316L
JJ1QNL	110109M
JJ1SHH/1	1310L
JJ1SNR	110110M
JJ1SSY/1	110303L
JJ1STD	100111M
JJ1SVC	110106M
JJ1SWI/1	1015L
JJ1TFY	1221M
JJ1TNX	1108M
JJ1TSW	100112M
JJ1TZB	1005M
JJ1TZX	110111M
JJ1UAN/1	1302M
JJ1UBX	111003M
JJ1UUZ	100118M
JJ1VEX	1318H
JJ1VFE	1030H
JJ1VGB	100108M
JJ1VKI	110115M
JJ1VQD	1116M
JJ1VUU	134406L
JJ1VZZ	111001M
JJ1WGG	1029M
JJ1WVM	110110H
JJ1XBB	110101M
JJ1XBQ	110110H
JJ1XNF	110110H
JJ1XQU	1225M
JJ1YAF	1420H
JJ1ZSL	110307M
JJ2AVH/2	1919M
JJ2CDL	2002M
JJ2FQK	1918L
JJ2JCM/1	1224M
JJ2JIX	2105M
JJ2JQF/1	1428M
JJ2PUE	19017M
JJ2QKZ/2	2008M
JJ2QXI	1901M
JJ2SQJ	21014M
JJ2VVH	2038L
JJ2WXO/2	1907M
JJ3CDK	220108H
JJ3EBU/1	1023M
JJ3FDB/3	250125M
JJ3JZM/1	1025M
JJ3KTW	250103M
JJ3LXM	2724M
JJ3OLB/3	250122M
JJ3OWV/3	250113M
JJ3QJI	2707M
JJ3TBB	270106M
JJ4DQY/4	3301H
JJ4JIR	3301M
JJ4MEA/4	350104M
JJ4NZO/1	110304M
JJ5AKK/3	2308M
JJ5HOA/5	3701M
JJ5LXO	3707M
JJ5PXH	38001L
JJ5PXO	3702M
JJ6DPQ	4018M
JJ6WDB/6	4204M
JJ6WYS/1	13002M
JJ7CVI/7	06010M
JJ8DAN/1	1225M
JJ8UDA/8	0104M
JK1AJX/7	05008M
JK1AKA	100120H
JK1ANA	1003M
JK1ANJ	1113M
JK1ATZ	1506M
JK1AUY/1	1025M
JK1BCH	1323M
JK1BGV	100122M
JK1BPW	1302M
JK1BQC	1114M
JK1BZM	1603H
JK1CBN/1	1030M
JK1CNL/2	1921M
JK1CUN	1009M
JK1CUQ	1003M
JK1CWR	110117M
JK1CWV	1030M
JK1DDD/1	1106M
JK1DLF	100120L
JK1DMT	1117H
JK1DRR	1002M
JK1DTK	100102M
JK1DUD	110113M
JK1DVP/1	1115M
JK1EAQ	100121M
JK1EXF	100111M
JK1FEM	1204M
JK1FNN	1002M
JK1FUN	1504M
JK1GMB	1108M
JK1GPK	1334L
JK1GTJ	1302M
JK1GVN	134404M
JK1GWS	1002M
JK1HAF/1	110116M
JK1HFZ	110117M
JK1HIX	1226H
JK1HJD/1	1102M
JK1HLQ	1226M
JK1HXP	13007M
JK1IEM	110303M
JK1IMN	1014M
JK1JAS	110115M
JK1JDY	1014M
JK1JHU	100114M
JK1KJM	134405M
JK1LCB	1321M
JK1LQB	100115M
JK1LSE/1	13004M
JK1LYP/1	1327M
JK1MGC	100110M
JK1MLY	1013M
JK1NAO	1338L
JK1NIA	1611H
JK1NJH	1611M
JK1ONN	1004M
JK1OUA	100120M
JK1OVJ/1	100105M
JK1PIU	110112M
JK1PTW	1007H
JK1QAY	100120M
JK1QLR/9	2901M
JK1REJ	1007L
JK1SPQ	1005M
JK1SZX/7	0415M
JK1TCV	1605H
JK1UKQ	1222M
JK1VGN	110117M
JK1VMC	100120H
JK1VTV	1025M
JK1VUZ/0	080106L
JK1WSH/1	11002H
JK1WXM	1612M
JK1WZU	1220H
JK1XAY	134408M
JK1XDB	1011M
JK1XUL/1	1324L
JK1YMM	1434H
JK1ZIP	100119L
JK2BAP	180101M
JK2CNV	1913H
JK2EIJ/0	0918M
JK2MGT	2011M
JK2NNF	200102M
JK2RCP	1821M
JK2TTP	21015H
JK2USM	2030M
JK2VOC/2	2105H
JK2XFK/2	180103M
JK2XXK	1906H
JK3HFN/3	2702M
JK3JXP	2301M
JK3LZI	2213M
JK3NSD	2509M
JK3SIC/9	30006M
JK3TDJ	2512M
JK3ZIK/3	2512M
JK4DUJ/4	350104M
JK7DWD	0301M
JK7LRZ	06008M
JK7UST	0607M
JK8CEE	0113M
JK8PBO	010109M
JK8SZF	010104M
JK8VPQ	0124H
JL1AGY	1601M
JL1BHN	1011M
JL1BWG/1	111002M
JL1CWS	1105M
JL1CZJ	1227L
JL1EUP	1605M
JL1FAR/1	110104M
JL1GHM	1211M
JL1GPG	1007M
JL1HHN	100103H
JL1IVL	1331M
JL1LNC	110117H
JL1LOF/1	100120M
JL1MCA	1012M
JL1OKJ	1308M
JL1QQA	111003M
JL1QXE	1401H
JL1RAL	1106M
JL1SJY	1329M
JL1SOX/1	110104L
JL1UCJ	1002M
JL1UTS/1	134403M
JL1VWL	1208H
JL1XFY	110104M
JL1XKD	134407L
JL2BSA/2	1901M
JL2OLU	1821M
JL2OYW	1903M
JL2XMW	2002H
JL3AYP/1	1111H
JL3DQX	2715M
JL3HZC	2512M
JL3OTE	2511M
JL3TMH/3	2512H
JL3TOG/3	2410H
JL3VUL	2702M
JL3WXS	2705M
JL3ZHU	26003H
JL3ZLY/3	2703H
JL3ZMZ	2503M
JL4CUN/4	3315M
JL6DXR/6	400107M
JL6HPP	4310M
JL6PQY/6	4203M
JL6QPA/1	12011M
JL7FTV	0718M
JL7IUE	02003H
JL7RKY/7	0615M
JL7VVJ	060103M
JL8JUK	0104M
JL8MFM	01073H
JL8TZJ/3	2703H
JM1DSC	1012M
JM1DXH	1109M
JM1EKM	100116M
JM1ESG	1104M
JM1FTS	1204M
JM1GDA	16010M
JM1GHT	1002M
JM1GOH	110113M
JM1HUX	100123M
JM1IDR	110106M
JM1IHU	134404M
JM1JIV/0	0809H
JM1LAW	1106M
JM1LDV/1	1106M
JM1LJS/6	4213M
JM1LQI	1327M
JM1LRA	1314M
JM1LRQ	110118M
JM1LTA	111003H
JM1LZT/1	1002M
JM1MKR	1319H
JM1MOM	110118L
JM1NKT	1310H
JM1OAX	1232H
JM1PIH	1421M
JM1PJX/1	1002M
JM1PXF	1007H
JM1SMY	100119H
JM1SRF	110118M
JM1SVG/2	2110M
JM1SZY	110117H
JM1TAL	1701M
JM1TDG/1	1228M
JM1TQH	1327M
JM1VNJ	100111M
JM1WBP/1	1315M
JM1XRL	110106M
JM1XSJ	110110M
JM1ZTI/1	110110M
JM2CAN/2	2012M
JM2FCJ/2	2103M
JM2MRY	2103L
JM2RUV	180101M
JM3FUW	250125M
JM3QIS/3	2727M
JM3UAO/1	1222M
JM4WUZ	3508H
JM6BYV	402107M
JM6CIP	4503M
JM6EKY	4601M
JM6URL	4018M
JM7GTK	0201M
JM7JHI/7	0503M
JM7NCK	06013M
JM8FEI	010109M
JM8GWK	0114M
JM8LND	01040H
JM8MUA/8	010102M
JM8NOD	010106M
JM8PBV	0121M
JM8POP	010103M
JM8PSY	0114M
JM8QIU	01023M
JM8QWL	010109M
JN1ALL	1334H
JN1ATL	110113H
JN1BEP	1011M
JN1BKR	1210M
JN1BNR	1433H
JN1CAK	110101M
JN1CCF	110112M
JN1CNJ	1605M
JN1DNV	110105M
JN1ECL	110117M
JN1EMG	1332M
JN1GTT	111001M
JN1HYU	1102M
JN1ILK	1712H
JN1KMI	1107M
JN1KWR	100119M
JN1MZR	100115M
JN1PFH	1417L
JN1QDR	100105M
JN1SCA/1	100115M
JN1SUT	1106H
JN1ULO	100114M
JN1VFF	11004M
JN1VFV	1013M
JN1VVR/1	1025M
JN2AMD	2007M
JN2MCQ/2	2002M
JN2PXP	200115M
JN3ANO	2406M
JN3ECZ	2512M
JN3GKF/3	2401M
JN3GWD/3	2407M
JN3GYJ	2409M
JN3IEN/3	250118M
JN3KDO	2531M
JN3LNI	2504H
JN3QZO	270101M
JN3WPH	2605M
JN4ESD	3301M
JN4FOY/4	350108M
JN4JGK/3	250104M
JN4JJJ	3209H
JN4MMO	3117M
JN4PMO/4	3102M
JN4VVU	3102M
JN6GDF/6	43007M
JN7DOR	0304M
JN7TAN	0715H
JO1AEC	110304L
JO1ALE/1	1206M
JO1ATK	1102H
JO1BEY	1314M
JO1CBA	1404M
JO1CRA/1	1501M
JO1DDS	110103L
JO1EUJ	100120M
JO1FHM/2	180103M
JO1IDL/1	100108M
JO1JKH	1501M
JO1KTD	100119M
JO1LDY/1	1415M
JO1PZR	1114M
JO1RUQ	1007M
JO1SIM	1005H
JO1TGF/1	111003M
JO1THG/1	1304M
JO1UHK	1345H
JO1VAP	1325M
JO1VVT	1010H
JO1WIZ	1322M
JO1XOK	100122M
JO1YGA/2	2034M
JO1ZQG/1	100112M
JO2XYK	180201M
JO3CHX	220105M
JO3DHL	2518M
JO3EVM	25002L
JO3JYE/3	2713H
JO3LZG	2535M
JO3NDC/3	2730H
JO3OEF	2705M
JO3QVT	2401M
JO3RUL	2704M
JO3TLQ/2	1816M
JO3UCS	22012M
JO4GFZ	35016H
JO4HFF/3	2308M
JO4HKO	3403M
JO4JKL	31007H
JO4KIK	3201L
JO4KKQ/4	3107L
JO4KOK	3514M
JO4KUZ	350104M
JO6WNE/6	4007M
JO6XMM	4501H
JP1AHN	100106M
JP1BVR	110107M
JP1EMV	1325M
JP1EVD/0	080107M
JP1EYX	1102M
JP1FPY	110112M
JP1HUJ	100112M
JP1ILT	110109M
JP1IXO	1217H
JP1JFG	1007H
JP1JYV/1	1030L
JP1JZR	110307M
JP1LEH	100122M
JP1LJH/2	21006M
JP1LRT	100115H
JP1NNF/1	1601M
JP1NYG/1	134407M
JP1OJU	100119L
JP1PEA	1343M
JP1PIJ/1	134404M
JP1RBJ	134403M
JP1RLN	1203M
JP1SRG	12002M
JP1SSP	111003H
JP1VUV	1319M
JP1VVA	13008M
JP1WCP	1109M
JP1XDM	1009M
JP2GJS	1806M
JP2MEC	1811M
JP2MYG/2	2002M
JP2UBH/6	40001M
JP2UFW	2029M
JP3AQR	2711M
JP3EHM	270106M
JP3FPZ	270109M
JP3HQR	2513M
JP3HTR	2401L
JP3JUV	270106M
JP3KNV/3	2715M
JP3KPJ/3	250204M
JP3KTS/4	3103M
JP3LGK	2510M
JP3NPC/3	2523M
JP3OGA	2404L
JP3OUY	2513M
JP3SIQ	2211M
JP3SMH	2405M
JP3TXP	2708M
JP3UBR	220108H
JP3WNR	270106L
JP3WSW/2	200111M
JP6NWR	4007M
JP6SPZ	4404H
JP7BCL	0501M
JP7GRU	05011H
JP7WAB	060101L
JP7XOM	0715H
JQ1AHZ/2	20007M
JQ1ARQ	1228M
JQ1BID	1114M
JQ1BPC	1311M
JQ1BVI	1003M
JQ1BYM/1	1106M
JQ1CTT	1317M
JQ1EPD/1	1204M
JQ1GDK	1007M
JQ1HMV	100116M
JQ1IBI	100110H
JQ1KWE	100105M
JQ1LKQ	1002M
JQ1LPT	1310M
JQ1MSQ	1508M
JQ1OKW	1020M
JQ1POX/1	1002M
JQ1QMQ	1401M
JQ1TIV	1322M
JQ1VDJ/1	13007M
JQ1VKO/1	1016M
JQ1WYB	100109H
JQ1YEP	1402M
JQ1YER	110109M
JQ1YJN	1318M
JQ1YKI/1	120104M
JQ1YLK	1002M
JQ1YNV	1004M
JQ1ZTR/1	1116M
JQ2FYT	200102M
JQ2KAE/3	2718M
JQ2NUD	2011M
JQ2REP	1905M
JQ2SGS	19008M
JQ2VBC	2003H
JQ2VGG	1813H
JQ3ACF	250126M
JQ3AWK	2513M
JQ3BGJ/3	220111M
JQ3BPQ/3	2401L
JQ3BVC	270101M
JQ3CSF/3	2702M
JQ3DTX	250111M
JQ3NPC/1	1102M
JQ3PPC	2705H
JQ3TAN	2707H
JQ6FQI	4626M
JQ6JWL	4201H
JQ7ARC/1	134403M
JQ7ATB	0203M
JR0AMD	080102H
JR0AZO	0818M
JR0BHL/2	2117M
JR0BQD	0825M
JR0DZH	08002M
JR0GKG	09006M
JR0JOW	0802M
JR0MAZ	0802H
JR0RBY	09008H
JR0ZGJ	0911H
JR1AKD/1	134404M
JR1BFZ/2	19007M
JR1BQJ/1	1010M
JR1BTG	1333M
JR1CCK	111001M
JR1CCP	1403M
JR1DTN	1220M
JR1DVB/1	1601M
JR1EMO	1325M
JR1GNT/1	1005M
JR1GSE	1604M
JR1JHO	100108M
JR1JWR	1105M
JR1JYR	1208H
JR1KHU	1002M
JR1LEV	1112M
JR1LZK	1401H
JR1MEG	100121M
JR1MHN	110109M
JR1MVA	1312H
JR1NHD	110305M
JR1NKN	1025M
JR1NVW	110118M
JR1OAO	110113M
JR1OZO	1317M
JR1QBA	1202M
JR1QMD	1105M
JR1SIM	120101L
JR1TGP	1106M
JR1TMI	134410M
JR1UFJ	1404M
JR1UIE	1325M
JR1UJX/2	2026M
JR1UPX/1	1010M
JR1USU/2	2030M
JR1WCP	1002M
JR1XKU	100112L
JR1XXE	1342M
JR1YTM	1012M
JR1YYT/2	21016M
JR2AIZ	180202M
JR2AWS	1903H
JR2BOF/0	0912H
JR2EKD/2	20009L
JR2EUE	200108M
JR2FHT	1901M
JR2FJX	2022M
JR2FWN	2025M
JR2GOA/9	2806M
JR2GYA/1	1105M
JR2HEJ	1907M
JR2IGA	2011M
JR2IOB	1815M
JR2KGI	2033M
JR2LBF	2036M
JR2MHV	2101H
JR2MIO/2	2110M
JR2NMJ	2105H
JR2OJK/2	1826M
JR2PAU	2005M
JR2PMT	1901H
JR2PZX/1	1432M
JR2RIA	2011M
JR2SCJ	1813H
JR2SNM/2	2007M
JR2SZH	2103M
JR2TRC	2030M
JR2UQU/2	200113M
JR2UTH	2031H
JR2WBG	2013M
JR3BVX	2509M
JR3CNQ	2509H
JR3DVV	250201M
JR3ELR/1	111003M
JR3EQG	2607H
JR3FQB	250118M
JR3JRI	250103M
JR3JSZ	2509M
JR3KAH	2702M
JR3KGM	2718M
JR3KQJ	2710H
JR3NZC	2409H
JR3OWV	250119M
JR3OYH	250201H
JR3PRC	2512M
JR3RIU	2715H
JR3RRI/3	2509M
JR3UIC/3	24004H
JR3UYY/3	2209M
JR3WIO	250202M
JR3WXA/1	1432M
JR3XEX	22014M
JR4CTF	3306M
JR4UCD/6	45003M
JR4VEV	3110M
JR4XME/4	3308M
JR4ZUZ/4	3110M
JR5CAG	3803M
JR5DPV	36001M
JR5EZN/5	37002M
JR5MBI	3901M
JR5PPN	36004M
JR5SPS/5	3901M
JR5YDZ/5	3901M
JR6CSY	4205M
JR6GYY/6	430104M
JR6HYO/1	1314M
JR6JHE	4601M
JR6KBF/6	400103M
JR6NAN	400104M
JR6SPH	4711L
JR6TPD	47001H
JR7ASO	060102M
JR7BVQ	0201M
JR7CVB	06013H
JR7CYX	0201M
JR7KGE	0506M
JR7KVA/1	11007M
JR7NFW/1	1605M
JR7RAR/7	0708M
JR7RBP/7	07006M
JR7XKN	0308H
JR7XRF	06006H
JR8ALJ	010107M
JR8AMF	010102M
JR8CSA	0104L
JR8DAG	010102M
JR8HCZ	010108H
JR8NOD	010108M
JR8OGB	0102M
JR8ORC	0114H
JR8PPG	010103H
JR8QFG/8	010102M
JR8QMO	01023M
JR8VSE	0102H
JR8WOW/1	12006L
JR8YLF/8	010103M
JR8YLY	010108M
JR9EIE	2801H
JR9FFO/1	1506M
JR9PRA	3004M
JR9RZY	2811M
JR9UKF	3009M
JS1DEH	1505H
JS1EKJ	1333M
JS1ETG	1004M
JS1GGW	100123M
JS1MBH	100117M
JS1OYN	110109H
JS1PXY	100107M
JS1SDU	120103M
JS1TLT	100101M
JS1VHP	110107M
JS1XLN	1327M
JS1YHQ	11007M
JS1YHW	1312M
JS2ALK/0	0911M
JS2AZO	2007M
JS2CAP	2003M
JS2CIC/2	1901M
JS2EPQ	1902M
JS2GBG	2003M
JS2GGD/2	2002M
JS2GKI	180202M
JS2GSW	1816M
JS2GYN	1903M
JS2HAT/2	1902M
JS2HBX	2019M
JS2HEY	1920M
JS2HPI	21014M
JS2IYT	200114M
JS2IYY	200116M
JS2JAQ/2	2004M
JS2JCP	200103L
JS2JHJ	200116H
JS2JSY	200113L
JS2KAY/2	180101L
JS2LEA/2	1907M
JS2LHD	200103H
JS2LJW/2	200114M
JS2LKI	180101L
JS2PHO	2008M
JS2RQK	2028M
JS2XTS	180101M
JS3CGH/9	2904H
JS3HXV	2731M
JS3JHC	2304M
JS3NEA	2310M
JS6EAQ/6	4701M
JS6RTJ	4713H
JS6TSE	47002M
JS6TUG	4701M
JS6UGC	4706M
JS6UIN	47005H
