# Call, Exch1, UserText, 
# JARL contest support
# All Cities All Guns contest
# Last Edit,2024-02-02
7J3AOZ,2708M
JH1RNI,1014M
JH1SAR,110101H
JH1SCZ,1708M
JH1SUU,1010M
JH1SXX,1212M
JH1SYB,100119M
JH1TEB,1003H
JH1TGZ,12011L
JH1TID,1312H
JH1TJH,1336H
JH1TMX,1208M
JH1TZV,110117M
JH1UBK,1515H
JH1VDM,1601M
JH1VIX,111002M
JH1VVW,100115M
JH1WHA,1015H
JH1WOY,120105M
JH1XUM,15008H
JH1XUP,1005M
JH1XUZ,1217M
JH1YAK,1605M
JH1YDT,100104M
JH1YIE,1019M
JH1YMC,110113H
JH1YNY/1,110108M
JH2AFP/2,1907M
JH2AXM,2019H
JH2BLF,18009L
JH2BTM,1903H
JH2CMH,2032H
JH2COZ,1808M
JH2DFJ,2004M
JH2FOR,2039H
JH2FXK,2003H
JH2GMK,180101M
JH2GSW,2011M
JH2HIS,1816H
JH2IHT,2002M
JH2IOD,20010H
JH2IRH/1,110101M
JH2JCT/2,1816M
JH2OFJ,1913H
JH2OJS/1,1510M
JH2PAH,2108H
JH2QBZ,1806H
JH2RIH,200101H
JH2TVB,20005M
JH2UMK,1912M
JH2UVB/2,2012H
JH2VEP,200114M
JH2XQY,200115H
JH2YDX/2,20005M
JH2YQB,200102M
JH3AGV,2528H
JH3AIV,2506M
JH3BJN/3,220101L
JH3BRU,250101H
JH3BYX,2708M
JH3CCT,2531H
JH3DMQ,2525M
JH3DYD,2522M
JH3EUJ/3,2711H
JH3FBK/1,110104M
JH3FTZ,2717H
JH3GBD/1,1332M
JH3GIG,2208M
JH3GMI,2509M
JH3HGI,27001H
JH3HWH,250202M
JH3JJS/1,1410M
JH3JSJ,2719H
JH3LCX,2702M
JH3MZP,250115M
JH3OHP,2529L
JH3OXM,250121M
JH3PMD,2523M
JH3PVC,2513M
JH3QFY,250204M
JH3QOH,2512M
JH3RSH,250119M
JH3TBY/3,2601H
JH3TXR,220106H
JH3WNZ/3,2507M
JH3WZQ/3,2401M
JH3YTR,270108M
JH4CES,310101M
JH4EJK,3107M
JH4EMK/4,3511H
JH4EYD,3401M
JH4FUF,3502M
JH4GXE,31006M
JH4JUK,3503M
JH4JUW,310103L
JH4LRD,32004M
JH4NDG,3508H
JH4NHF,3308M
JH4OHD,3103M
JH4OUH/4,3304H
JH4OWG,3102M
JH4OYD,3301M
JH4PUL/3,24007M
JH4QJP,3116H
JH4RAL/3,2310M
JH4RCK/1,110106M
JH4RUM,3115M
JH4SMT/4,32006M
JH4TDZ,35016H
JH4TNX/1,1435M
JH4UCM,3301M
JH4UOA,3302H
JH4UTP,310101H
JH4UYB,310104H
JH4XFZ/1,11007M
JH5DAH,3701M
JH5HDA,3801M
JH5JKH/1,1341M
JH5OJH,3607H
JH5PWS,3802L
JH5QJK,3801M
JH5YCW/5,3901M
JH5YVC,3601M
JH6ADM,400107H
JH6BUK,4007M
JH6CRV,4009M
JH6CRX,400105M
JH6EXF,430103H
JH6EYL,4010M
JH6FTJ,4501H
JH6IAG,402105M
JH6JRN,4601M
JH6KOQ,4401M
JH6KZP/6,4401M
JH6NBW,402102H
JH6NSS,4010M
JH6PPV,4401M
JH6QIL,4626H
JH6RTO,4304M
JH6SCA,4211H
JH6TNH,402107H
JH6VDH,40005M
JH6WDG,4024H
JH6WKF,4306M
JH6WXF,4027H
JH7DEZ,0705H
JH7DUM,0711M
JH7IMX,060101H
JH7IXX,0503H
JH7JHX,05005M
JH7LGJ,060105M
JH7NOT/7,06010M
JH7OUW,0410M
JH7OYV,0201M
JH7UJU,060101M
JH7UKE,060102M
JH7USU,0505H
JH7VRU,0603M
JH7VTE/7,0401H
JH7XGN,04001H
JH7XMZ,0501M
JH7XNJ,0505H
JH7YAP,060101M
JH7YTU/7,0315M
JH7YVU/7,0503M
JH8BGQ,0103M
JH8CBH,0104M
JH8CLC/7,0301H
JH8CXW,0135H
JH8DMF,010108H
JH8EAW,010109M
JH8FAJ/1,15006M
JH8FIH,0119H
JH8FIS/1,110304M
JH8IYN,010110H
JH8JLI,010108L
JH8NBJ,010104M
JH8OCV,0103M
JH8RNY/8,0102M
JH8XTE/8,0118M
JH8ZVQ/8,010108M
JH9ASG,2901H
JH9CEN,3011M
JH9CFQ/9,2801M
JH9DMD/4,3201M
JH9DRL,2801M
JH9ETC,3001L
JH9FBU/9,3001M
JH9FCP,30003M
JH9ISB,29012M
JH9SCP/1,1420M
JH9TIW/4,34005M
JH9TJT/9,3010H
JH9URT,2809M
JH9VIP,2901M
JI0TWA,0827M
JI0VWL,09003M
JI0WVQ,0826H
JI1ACI,1509H
JI1AEP,110305L
JI1AKL,1501H
JI1ALP,1207H
JI1AQY/0,0907M
JI1BIF,110117M
JI1BPM,1102H
JI1BZJ,1016M
JI1CAZ,120104M
JI1DFW,134408M
JI1DGW,1007M
JI1EAB,1009M
JI1EDQ,1312M
JI1EFU/1,1332H
JI1FCK,110105M
JI1FLB,100122H
JI1FOE,1502M
JI1GQO,1312M
JI1HFJ,1330H
JI1HHB,111001M
JI1HPZ,1219M
JI1ICF,1223H
JI1IIF,1231H
JI1IKC,1013M
JI1IWV,13008M
JI1IZS,1104M
JI1JCI,1303M
JI1JDI,1310M
JI1JMS,120102M
JI1JPJ,1605H
JI1KCO,100114M
JI1KIW,1407M
JI1LAI,100121M
JI1LET,1306H
JI1LHT,1333H
JI1LNP,110118M
JI1MDZ,1102H
JI1NIK,110117H
JI1NQG,1002L
JI1NWG,1312M
JI1NZA,1227M
JI1OWT,1012H
JI1PUC,1006M
JI1PVB,1302M
JI1PZQ,100119M
JI1QEO,11004M
JI1QOF,14014H
JI1RWC,1511M
JI1RWG,100120M
JI1RXQ,1404H
JI1SFZ,1117M
JI1SMA,1002H
JI1SNE,100104H
JI1TDA,1322H
JI1TIK,1321M
JI1TYY,100112L
JI1UPL,110117M
JI1VJX,1402M
JI1VUJ,1113M
JI1XKH,13008M
JI1XSE,16007M
JI1YTF/2,2030M
JI1ZCZ,110108M
JI2EQL,1901H
JI2GCM,2033H
JI2IWB,2003M
JI2IXA,21014M
JI2MWH,2017H
JI2NTJ,2015M
JI2OJV,2005L
JI2PNG,2035H
JI2UPG/3,2313M
JI2VLM,1903M
JI2WTE/2,1806L
JI3AES/1,100102M
JI3BSB/3,2509L
JI3CEY/3,250204M
JI3CJP/3,2304H
JI3CSH,2301H
JI3EYI,2410M
JI3KHN/2,2016M
JI3LLP,2503M
JI3MCM,2205M
JI3NOP,2302M
JI3OQO,250205M
JI3VOV/3,2705M
JI3WHR,2526H
JI4DPE,3118M
JI4EAW/3,23004M
JI4JGD,3109M
JI4JUI,3514M
JI4WHS,3513H
JI5GND/5,3701M
JI5SAI,36004M
JI5SAO,3601M
JI5USJ/4,3107M
JI5VPL/5,3901M
JI6EEZ,4401H
JI7EMD/7,0201M
JI7FBM,0315H
JI7GBI,0602M
JI7OEA/7,0401M
JI7OED/7,0401M
JI7RVJ,0606M
JI7VQP,0715M
JI8EFU,010108M
JI8KXC,010105H
JI8PNV,010101M
JJ0ACA/0,0920M
JJ0HPI/0,0906M
JJ0JDK,0827M
JJ0PFZ,0802M
JJ0SFV,0822H
JJ0SOX/0,0901M
JJ0TIY,0901M
JJ0TJS/0,08015M
JJ0TOL/0,0822H
JJ0TWX,080107H
JJ0TXI/0,0822M
JJ0UGY,0918H
JJ0USR,09006M
JJ0UTR/0,0822M
JJ0VDX,09008M
JJ0VFV/0,0902H
JJ0VQE,0901H
JJ0VXN,0914M
JJ0WIE,0905L
JJ0WNH/1,1233H
JJ1ABU,110109M
JJ1AEB,1401M
JJ1BBY/0,0919M
JJ1BCV,1217H
JJ1BHW,110307L
JJ1BUZ,1106M
JJ1CBY,1322H
JJ1CWR,1210H
JJ1DGG,110117M
JJ1DJF,16003M
JJ1DPG,110112H
JJ1DQR/1,1002H
JJ1EAJ/2,2006M
JJ1ENZ,1006M
JJ1EQW/0,0824M
JJ1FDS,1106H
JJ1FHR,100108M
JJ1FVG,1333M
JJ1FWH,100105H
JJ1GQH,13008H
JJ1GXY,1402L
JJ1HHJ,100119M
JJ1HKL,1005L
JJ1HTI,1508H
JJ1HTO,1002M
JJ1IDW,100115M
JJ1ISA,1321L
JJ1ISW,1207M
JJ1IVU,110307M
JJ1JJD,110307M
JJ1JQJ/1,100103M
JJ1JQM,1207H
JJ1JRH/1,1336M
JJ1JVC,1311H
JJ1KZZ,1010M
JJ1LBJ,100105H
JJ1LWC,1420L
JJ1LZE,10002H
JJ1MLB,1029M
JJ1MZX,110109M
JJ1NPN/1,1401M
JJ1OIR,1417H
JJ1ONI/1,16007H
JJ1ONK,1007M
JJ1OVA,1114M
JJ1OXT,1025M
JJ1PIO,134408M
JJ1PIQ,110109M
JJ1PSM,110107M
JJ1QFZ,1222M
JJ1QIC,1316L
JJ1QNL,110109H
JJ1QZH,1424H
JJ1RJR,1203M
JJ1SHH/1,1310L
JJ1SLW,1302L
JJ1SNR,110110H
JJ1SSY/1,110303L
JJ1STD,100111M
JJ1STY,110304H
JJ1SVC,110106M
JJ1SWI/1,1015L
JJ1TFY,1221M
JJ1TNX,1108M
JJ1TQM,100117M
JJ1TSW,100112M
JJ1TZB,1005M
JJ1TZX,110111M
JJ1UAN/1,1302M
JJ1UBX,111003H
JJ1UUZ,100118H
JJ1VEX,134401M
JJ1VFA/1,1302M
JJ1VFE,1030H
JJ1VGB,100108M
JJ1VJS/1,100112M
JJ1VKI,110115L
JJ1VQD,1116M
JJ1VUU,134406L
JJ1VZZ,111001M
JJ1WGG,1029M
JJ1WVM,110110M
JJ1XBB,110101M
JJ1XBQ,110110H
JJ1XNF,100111M
JJ1XQU,1225M
JJ1YAF,1420M
JJ1YZH,1337M
JJ1ZEJ/1,15008M
JJ1ZSL,110307M
JJ2AVH/2,1919M
JJ2BXL,2006M
JJ2CDL,2002M
JJ2FQK,1918H
JJ2JCM/1,1233M
JJ2JIX,2105M
JJ2JQF/1,1713M
JJ2PUE,19017M
JJ2QKZ/2,2008M
JJ2QXI,1901M
JJ2SQJ,21014M
JJ2VVH,2038L
JJ2WXO/2,1907M
JJ2YQT/2,2012M
JJ2YRE,1823H
JJ2YWM/2,2019M
JJ2YWY,2012M
JJ3CDK,220108H
JJ3EBU/1,1511M
JJ3FDB/3,250125M
JJ3JZM/1,1224M
JJ3KTW,250103M
JJ3LXM,2724H
JJ3OLB/3,250122M
JJ3QJI,2707H
JJ3TBB,270106M
JJ3WMD,2512L
JJ4DQY/4,3301M
JJ4HMO,3201H
JJ4IFW/4,3302M
JJ4JIR,3301M
JJ4KME,3502H
JJ4MEA,350104M
JJ4NZO/1,1437M
JJ5AKK/3,2403H
JJ5ASD,3601M
JJ5EQW,37002M
JJ5HOA/5,3701H
JJ5LXO,3707H
JJ5PXH,38001L
JJ5PXO,3702M
JJ6DPQ,4018M
JJ6KMB,4007H
JJ6WDB/6,4204M
JJ6WYS/1,12008M
JJ6XZG/1,1014M
JJ7CVI,06010M
JJ7OIP,0715H
JJ7UGJ/7,0718M
JJ7XQU/7,060101H
JJ8ARE,010105H
JJ8DAN/1,13008M
JJ8RUN/3,2215M
JJ8UDA/8,0104M
JK1AAB,110106H
JK1AJX/7,02006M
JK1AKA,1304H
JK1ANA,1003M
JK1ANE,1321L
JK1ANJ,1113H
JK1ATZ,1506M
JK1AUY/1,1025M
JK1BCH,1323M
JK1BGV,100122M
JK1BPW,1302M
JK1BQC,1114H
JK1BVN,1332M
JK1BZM,1603M
JK1CBN/1,1030M
JK1CNL/1,1329M
JK1CQA,100112M
JK1CUN,1009M
JK1CUQ,1003M
JK1CVH,100114M
JK1CWR,16001H
JK1CWV,1030M
JK1CWW/7,02003M
JK1CXH,110110M
JK1DAS,1012M
JK1DDD/1,1106M
JK1DGG/2,2023H
JK1DLF,100120L
JK1DMT,1117M
JK1DRR,1002M
JK1DRV,1007M
JK1DTK,100102M
JK1DUD,110113H
JK1DVP/1,1115M
JK1EAQ,100121H
JK1EJP,110303M
JK1ELJ,110303M
JK1ESR,110305M
JK1EXF,100111M
JK1FEM,1204M
JK1FNL,110108H
JK1FNN,1002H
JK1FUN,1504M
JK1FUP,110117H
JK1GMB,100115M
JK1GTJ,1302M
JK1GVN,16001H
JK1GWS,1002H
JK1HAF/1,110116M
JK1HFB,110304H
JK1HFP/1,1308M
JK1HFZ,110117M
JK1HGI,111002H
JK1HIX,1226H
JK1HJD/1,1102M
JK1HLQ,1226M
JK1HXP,13007M
JK1IAO/1,1505M
JK1IEM,110303M
JK1IMN,1014H
JK1JAS,110115H
JK1JDY,1014M
JK1JHU,100114M
JK1JIL,110306L
JK1JQO/1,15008M
JK1JWP,100117H
JK1KJM,134405M
JK1LCB,1321H
JK1LPW,100123M
JK1LQB,100115M
JK1LSE/1,13004M
JK1LXI,1304L
JK1LYP/1,1327M
JK1MCD/4,350107M
JK1MGC,100110H
JK1MLY,1013M
JK1NAO,1338L
JK1NAZ,100117L
JK1NJH,1611H
JK1NSR,1424M
JK1OEZ,1308M
JK1OLT,1604M
JK1ONN,1004H
JK1OPC,110118M
JK1OUA,100120M
JK1OVJ/1,100105M
JK1OXK/1,1605M
JK1PDC,100106H
JK1PDL,1010M
JK1PIU,110112H
JK1PLE,1204M
JK1QAY,100120H
JK1QLR/9,2906M
JK1QNU,1302L
JK1REJ,1007L
JK1RHX,1315M
JK1RIY,1221M
JK1RSJ,110303M
JK1RWO,1501M
JK1SCJ/1,1329M
JK1SFP,1105M
JK1SJI,1345L
JK1SPQ,1502H
JK1SZX/7,0412M
JK1TCV,1605H
JK1TIB,1327L
JK1UAV,1609M
JK1UKQ,1222H
JK1URX/3,27013L
JK1VGN,110117M
JK1VMC,100120M
JK1VNN,110113H
JK1VTV,1025M
JK1VUZ/0,0905L
JK1WEY,1315L
JK1WSH/1,11002M
JK1WXM,1612M
JK1WZU,1220M
JK1XAY,134408M
JK1XDB,1011M
JK1XRT,1002M
JK1XUL/1,1324L
JK1YKZ/1,100107M
JK1YMM,1434M
JK1ZIP,100119H
JK2BAP,180101H
JK2CNV,1913M
JK2EIJ/0,080102M
JK2MGT,2011M
JK2NNF,200102M
JK2NNU/2,2012H
JK2RCP,1821M
JK2TTP,21015H
JK2USM,2030M
JK2VOC,2101H
JK2VQR,180203M
JK2XFK/2,180103M
JK2XXK,1906H
JK3HFN/3,2702M
JK3LZI,2213M
JK3NSD,2509H
JK3SIC/9,2901M
JK3TDJ,2512M
JK3UDU,2512M
JK3ZIK/3,2512M
JK4DUJ/4,350104M
JK4QDB,3508M
JK7DWD,0301M
JK7LRZ,06008M
JK7UST,0607M
JK8CEE,0113M
JK8PBO,010109H
JK8SZF,010104M
JK8VPQ,0124M
JL1AGY,1601M
JL1BHN,1011M
JL1BWG,111002M
JL1BXK,1206H
JL1CNG,120103M
JL1CWS,1105M
JL1CZJ,1227L
JL1EEF,100123H
JL1EIG/3,22014M
JL1EUP,1510H
JL1FAR/1,110104M
JL1GHM,1211M
JL1GPG,1007M
JL1HHN,1206M
JL1IHF,1232M
JL1IVL,1331M
JL1LGX/1,1029M
JL1LNC,1002M
JL1LOF/1,100120M
JL1LYT,1403H
JL1MCA,1012M
JL1OHO,100117M
JL1OKJ,1308M
JL1QQA,111003H
JL1QXE,1401H
JL1RAL,1106M
JL1SJY,1329M
JL1SOX/1,110103L
JL1UCJ,1002H
JL1UTS/1,134405M
JL1VWL,1208M
JL1WRV,1516H
JL1XFY,110104H
JL1XKD,134407L
JL2BSA/2,1901M
JL2CJB/2,1813M
JL2GSN,1813H
JL2OLU,1821M
JL2OYW,1903M
JL2XMW,2002M
JL3AYP/1,1609M
JL3DQX,2715H
JL3HCO,2702M
JL3HZC,2512M
JL3OTE,2511M
JL3RDC,2314M
JL3TMH/3,2512M
JL3TOG/3,2516M
JL3VUL,2702M
JL3WXS,2705M
JL3YMC,250120H
JL3ZHU,2314H
JL3ZLY/3,2703M
JL3ZMZ,2503M
JL4CUN,3315M
JL4WYY,3502H
JL6DXR/6,400107H
JL6HPP,4310M
JL6PQY/6,4203M
JL6QPA/1,120103M
JL6XZI,4025M
JL7FTV,0718M
JL7IUE,02003H
JL7RKY/7,0615M
JL7UWQ,0501H
JL7VVJ,060103M
JL8JFX,010101M
JL8JUK,0104M
JL8MFM,010101M
JL8TZJ/3,250207H
JL8XSO/5,3701M
JM1ANA,1113M
JM1BMM,1119M
JM1DPL,1207M
JM1DSC,1012M
JM1DXH,1109M
JM1EKM,100116M
JM1EMX/1,100121M
JM1ESG,1104H
JM1FTS,14001H
JM1GDA,15007H
JM1GHT,1002H
JM1GOH,110113M
JM1HUX,100123M
JM1IDR,110106M
JM1IHU,134404L
JM1IKW,15004M
JM1IRD/7,07014M
JM1JIV/0,0811H
JM1KNI,1002H
JM1LAW,1106M
JM1LDV/1,1106M
JM1LJS/6,4106M
JM1LQI,1327M
JM1LRA,1314M
JM1LRQ,1319H
JM1LTA,111003M
JM1LZT/1,1002H
JM1MKR,1319M
JM1MOM,110118M
JM1NKT,1310H
JM1OAX,1221M
JM1PIH,1421M
JM1PJX,1002M
JM1PXF,1007H
JM1SMY,100119H
JM1SRF,110118M
JM1SVG/2,2007M
JM1SZY,100120H
JM1TAL,1701M
JM1TBU,111002M
JM1TDG/1,1228M
JM1TQH,1327M
JM1VNJ,100111M
JM1WBP/1,1315M
JM1XSJ,110110M
JM1ZJI/1,100108M
JM1ZOR/1,100106M
JM1ZTI/1,110110L
JM2CAN/2,2012H
JM2FCJ/2,2103H
JM2FMJ,200116L
JM2LHB,1812M
JM2LOF,1807H
JM2MRY,2103M
JM2NYR,200114L
JM2RUV,180101M
JM3AAN,2718L
JM3DUR,220101H
JM3EZA,2512L
JM3FUW,250125L
JM3GZI,270104M
JM3QIS/3,2727M
JM3UAO/1,110301M
JM4MGM,3206M
JM4WUZ,3508H
JM6BYV,402107M
JM6CIP,4503M
JM6EBR,402105H
JM6EKY,4601M
JM6IAU,4502M
JM6QPX,4101M
JM6URL,4018M
JM6VHE/6,4610M
JM7GTK,0201M
JM7JHI,0503M
JM7NCK,06013M
JM8CHD,0117H
JM8FEI,010109H
JM8GWK,0114M
JM8LND,01040H
JM8MUA/8,010102M
JM8NOD,010106M
JM8NPZ,0115M
JM8NSW,010101M
JM8PBV,0121M
JM8POP,010103M
JM8PSY,0114H
JM8QIU,01023M
JM8QWL,010109M
JM8REB,0114M
JM8RWJ,0103H
JM8SHE,010102M
JN1ALL,1334H
JN1ATL,1321H
JN1BEP,1011H
JN1BKR,1210M
JN1BNR,1433M
JN1CAK,110101M
JN1CCF,110112H
JN1CNJ,1605M
JN1DJY/1,1005M
JN1DNV,110105H
JN1ECL,110117M
JN1EMG,1332M
JN1GEW,1601H
JN1GFR,1604H
JN1GTT,111001H
JN1HYU,1102M
JN1IEJ/1,1007M
JN1ILK,1701M
JN1KMI,1107M
JN1KWR,100119M
JN1MZR,100115M
JN1PFH,1417L
JN1QDR,100105M
JN1SCA/1,100115H
JN1SUT,14014H
JN1TVW,1010H
JN1ULO,100114M
JN1VFF,11004H
JN1VFV,1013M
JN1VVR/1,1007H
JN1WTM/1,1105H
JN1WTQ,134408H
JN1XTJ,110105M
JN2AMD,1906H
JN2MCQ/2,2002M
JN2PXP,200115M
JN3ANO,2406H
JN3AOC,270109M
JN3CUM/3,25004L
JN3ECZ,2512H
JN3GKF/3,2401M
JN3GWD/3,270104H
JN3GYJ,2409M
JN3IEN/3,250118M
JN3KDO,2531M
JN3LNI,22008H
JN3QZO,270101M
JN3WPH,2401M
JN4ESD,3301H
JN4FOY/4,31015M
JN4JGK/3,220110M
JN4JJJ,3209H
JN4MMO,3117H
JN4PMO/4,3102M
JN4THO,3508H
JN4VVU,3102M
JN6GDF/6,43007M
JN6MAC,402107M
JN7DOR,0304M
JN7TAN,0715H
JO1AEC,110304H
JO1ALE/1,1206H
JO1ATK,1102H
JO1BEY,1314M
JO1CBA,1404M
JO1CRA/1,1501M
JO1DDS,110103L
JO1ECR,1225M
JO1EUJ,100120M
JO1FHM/2,20009L
JO1FRI/1,1302L
JO1IDL/1,100108M
JO1JAO,1002H
JO1JBF,100114L
JO1JKH,1501M
JO1KKD,1115M
JO1KTD,100119M
JO1LDY/1,1415M
JO1OLZ,1004H
JO1PZR,1114M
JO1QNO,1222M
JO1RBT,110301M
JO1RJY,13008M
JO1RUQ,14001H
JO1SIM,1005M
JO1SMN,1013M
JO1TGF/1,111003M
JO1THG/1,1304M
JO1UHK,1345M
JO1VAP,1325H
JO1VRK,11007M
JO1VVT,1010H
JO1WIZ,1322M
JO1XDW/1,110102M
JO1XOK,100122H
JO1YGA/2,1911M
JO1YKX,134409M
JO1ZQG/1,100112M
JO1ZRX,1011M
JO1ZZZ/1,1010M
JO2ASQ,2005M
JO2BWZ,19003M
JO2KKH/0,080101M
JO2XYK,180201M
JO3CHX,220105H
JO3DHL,2518M
JO3EVM,25002H
JO3JYE,22008H
JO3KFL/3,26001M
JO3LZG,2535M
JO3NDC/3,2730M
JO3NEA/3,270108M
JO3OEF,2705H
JO3QVT,2401H
JO3RUL,2704M
JO3TLQ/2,2036M
JO3UCS,22012M
JO4GFZ,3513M
JO4HFF/3,23002M
JO4HKO,3403M
JO4JKL,3403H
JO4KIK,3201M
JO4KKQ/4,3107L
JO4KOK,3514M
JO4KUZ,350104M
JO4MTH,31019M
JO4NAO,350101M
JO6NZN/6,430101M
JO6WNE/6,4007M
JO6XMM,4501M
JP1AHN,100106M
JP1APV,100115H
JP1BVR,110107H
JP1EMV,1325M
JP1EVD/0,09017M
JP1EYX,1102M
JP1FFS/1,1430M
JP1FPY,110112M
JP1GTS,1207M
JP1HUJ,100112H
JP1ILT,110109H
JP1IXO,1217H
JP1IXV,1116H
JP1JFG,1007H
JP1JUY,1601M
JP1JYV/1,1030L
JP1JZR,110307M
JP1LEH,100122M
JP1LJH/2,2109H
JP1LRT,100115H
JP1NNF/1,1601H
JP1NYG/1,134407M
JP1OJU,100119L
JP1PEA,1343M
JP1PIJ,134404H
JP1PPB,134404M
JP1RBJ,134403M
JP1RLN,1203M
JP1SRG,12002H
JP1SSP,111003M
JP1VUV,1319M
JP1VVA,13008M
JP1WCP,1109M
JP1WKO,1028M
JP1XDM,1009M
JP2GJS,1806M
JP2MEC,1811M
JP2MVZ/2,2007M
JP2MYG/2,2002M
JP2UBH/6,4204M
JP2UFW,2029M
JP2XYT,2103M
JP3AQR,2711M
JP3EHM,270106M
JP3EJE,2512H
JP3FPZ,250101L
JP3HQR,2513M
JP3HTR,2401L
JP3JCU,2709M
JP3JUV,270106M
JP3KNT/3,2301M
JP3KNV/3,2715M
JP3KPJ/3,250204M
JP3KTS/2,2038M
JP3LGK,2510H
JP3NPC/3,2523M
JP3OGA,2404L
JP3OUY,2513M
JP3SIQ,2211M
JP3SMH,2405H
JP3SSU,2523M
JP3TXP,2708H
JP3WKT/3,27016M
JP3WNR,270106H
JP3WSW/2,200115M
JP6NWR,4007M
JP6SPZ,4404M
JP7AAV,05008M
JP7BCL,0501H
JP7FBC/1,1329M
JP7GRU,05011M
JP7IXQ/1,110109M
JP7PQF/1,1431M
JP7WAB,060101L
JP7WCL/9,2904M
JP7XOM,0715M
JQ1AHZ/2,1809M
JQ1ARQ,1322H
JQ1BID,1114H
JQ1BPC,1311M
JQ1BVI,1002H
JQ1BYM/1,1106M
JQ1CTT,1317H
JQ1EPD,1204M
JQ1GDK,1007M
JQ1GLJ/1,110112M
JQ1HMV,100116M
JQ1IBI,100110H
JQ1KWE,100105H
JQ1KZV,1222M
JQ1LKQ,1002M
JQ1LPT,1310H
JQ1MSQ,1508M
JQ1OKW,1020M
JQ1PCT,110110M
JQ1POX/1,1002M
JQ1QMQ,1401H
JQ1SXI,1602H
JQ1TIV,1322H
JQ1VCO,1319M
JQ1VDJ/1,1319M
JQ1VKO,1016M
JQ1VUE,1404M
JQ1WCS,1002M
JQ1WYB,100109M
JQ1YEP,1402M
JQ1YER,110109H
JQ1YJN,1318M
JQ1YKI/1,120104M
JQ1YLK,1002H
JQ1YNV,1004H
JQ1YSR/1,110112M
JQ1YUF,1002H
JQ1ZTR/1,1116M
JQ1ZWD/1,110110M
JQ2BJK,2010M
JQ2DUX,2008M
JQ2FYT,200102M
JQ2KAE/3,2405H
JQ2NUD,2011L
JQ2REP,1905M
JQ2SGS,19008M
JQ2VBC,2003M
JQ2VGG,1813H
JQ3ACF,250126M
JQ3AWK,2513M
JQ3BAV,2404H
JQ3BGJ/3,220111M
JQ3BPQ/3,2401L
JQ3BVC,270101M
JQ3CQT/3,2705M
JQ3CSF/3,2702M
JQ3DEW,2510L
JQ3DTX,250111M
JQ3DZQ/2,18011M
JQ3GLW,2715L
JQ3ICB,220108H
JQ3IGJ,2504H
JQ3NPC/1,1330M
JQ3PPC,2705L
JQ3TAN,220102H
JQ3XHA,2705L
JQ6FQI,4626M
JQ6GEP,4415M
JQ6JWL,4201H
JQ7ARC/1,1217M
JQ7ATB,0203M
JQ7BGD,0402L
JQ7BIU,02002M
JR0AMD,080102H
JR0AZO,0818H
JR0BHL/2,2006M
JR0BQD,0825M
JR0DZH,08002H
JR0GAS,0906H
JR0GKG,09006M
JR0JOW,0802M
JR0MAZ,0802M
JR0RBY,09008H
JR0SYV,080106H
JR0ZBZ,0921H
JR0ZGJ,0911H
JR1AKD,134404M
JR1ATA,1105H
JR1BFZ/2,200101M
JR1BQJ/1,1010M
JR1BTG,1333H
JR1CCK,111001M
JR1CCP,1403M
JR1DQH,1116M
JR1DTN,1220M
JR1DVB/1,1601M
JR1EMO,1325M
JR1EWU,120103M
JR1GNT/1,1005M
JR1GSE,1604H
JR1GYE,1602M
JR1JHO,100108M
JR1JWR,1105M
JR1JYR,1208H
JR1KHU,1002M
JR1LEV,1112H
JR1LWS,1319L
JR1LZK,1401M
JR1MEG,100121M
JR1MHN,110109M
JR1MVA,1312M
JR1NHD,110305M
JR1NHZ,110101M
JR1NKN,1025M
JR1NVW,110118M
JR1NWV,1602H
JR1OAO,110113H
JR1OZO,1317M
JR1QBA,1202H
JR1QKF,11002M
JR1QMD,1105M
JR1SIM,120101L
JR1TCY,15008H
JR1TGP,1106H
JR1TMI,134410H
JR1TOK,1322L
JR1TQZ,1505H
JR1TZN,134404M
JR1UDV,1308M
JR1UFJ,1404M
JR1UIE,1325M
JR1UJX,100118M
JR1UPX,1010H
JR1USU/2,2115M
JR1UXI,1208H
JR1WCP,1002M
JR1XNR,1013L
JR1XXE,1342M
JR1YAY/1,1117M
JR1YEU,1026M
JR1YOC/1,1423M
JR1YRI,1102M
JR1YTM,1012M
JR1YYT/2,2110M
JR1ZEF,100105M
JR1ZTT,1420H
JR2AIZ,180202H
JR2AWS,1903M
JR2BOF/0,09014M
JR2BYJ,2102H
JR2DWA,2107M
JR2EDU/2,180101M
JR2EKD,20009L
JR2EUE,200108M
JR2FBM,2006M
JR2FHT,1909M
JR2FJX,2022M
JR2FWN,2025M
JR2GOA/9,2907M
JR2GYA/1,100113M
JR2HEJ,1907M
JR2IGA,2011H
JR2IOB,1813L
JR2KBH,2102M
JR2KGI,2033H
JR2LBF,2036H
JR2MHV,2101H
JR2MIC/2,200114H
JR2MIO/2,2110H
JR2NMJ,2105H
JR2NTC/2,2030H
JR2OJK/2,1826M
JR2PAU,2005M
JR2PMT,1901M
JR2PZX/1,110112H
JR2RIA,2011H
JR2SCJ,1803M
JR2SNM/2,2007M
JR2SZH,2103M
JR2TRC,2030M
JR2UQU/2,200113M
JR2UTH,2031M
JR2WBG,2013M
JR2WLQ,2008M
JR3BOT,2401H
JR3BVX,2509H
JR3CNQ,2509H
JR3DVV,250201M
JR3ELR/1,120103M
JR3EPI,2409M
JR3FOS,220111H
